 strategy,interface,num_data_points,elapsed_time,record_count,engine,finished_at,
vanilla_dask_ddf_grp_apply,ddf,90000,0.130925,9,dask,2024-07-21T10:46:37.839091,
vanilla_dask_sql_no_gpu,ddf,900,0.102473,9,dask,2024-07-21T10:46:38.247340,
vanilla_dask_ddf_grp_udaf,ddf,90,0.118037,9,dask,2024-07-21T10:46:38.512325,
vanilla_dask_sql_no_gpu,ddf,90,0.101016,9,dask,2024-07-21T10:46:38.913426,
vanilla_dask_sql_no_gpu,ddf,900,0.097989,9,dask,2024-07-21T10:46:39.156163,
vanilla_dask_ddf_grp_apply,ddf,9,0.050992,9,dask,2024-07-21T10:46:39.510307,
vanilla_dask_ddf_grp_udaf,ddf,90000,0.141277,9,dask,2024-07-21T10:46:39.796891,
vanilla_dask_ddf_grp_apply,ddf,90,0.092036,9,dask,2024-07-21T10:46:40.032678,
vanilla_dask_sql_no_gpu,ddf,90,0.096029,9,dask,2024-07-21T10:46:40.273490,
vanilla_dask_sql_no_gpu,ddf,900000,0.155547,9,dask,2024-07-21T10:46:40.574354,
vanilla_dask_ddf_grp_apply,ddf,9000,0.107263,9,dask,2024-07-21T10:46:40.828464,
vanilla_dask_ddf_grp_udaf,ddf,90,0.116012,9,dask,2024-07-21T10:46:41.245610,
vanilla_dask_ddf_grp_udaf,ddf,9,0.085619,9,dask,2024-07-21T10:46:41.476806,
vanilla_dask_ddf_grp_apply,ddf,9,0.055124,9,dask,2024-07-21T10:46:41.675264,
vanilla_dask_sql_no_gpu,ddf,900000,0.155839,9,dask,2024-07-21T10:46:41.981567,
vanilla_dask_ddf_grp_udaf,ddf,90,0.120616,9,dask,2024-07-21T10:46:42.247576,
vanilla_dask_ddf_grp_udaf,ddf,9000,0.126986,9,dask,2024-07-21T10:46:42.519598,
vanilla_dask_ddf_grp_apply,ddf,90,0.086160,9,dask,2024-07-21T10:46:42.750425,
vanilla_dask_ddf_grp_apply,ddf,90,0.091176,9,dask,2024-07-21T10:46:42.987405,
vanilla_dask_ddf_grp_udaf,ddf,9000,0.127606,9,dask,2024-07-21T10:46:43.260568,
vanilla_dask_sql_no_gpu,ddf,90,0.098187,9,dask,2024-07-21T10:46:43.502750,
vanilla_dask_sql_no_gpu,ddf,9000000,0.862535,9,dask,2024-07-21T10:46:44.665214,
vanilla_dask_sql_no_gpu,ddf,9000000,0.864635,9,dask,2024-07-21T10:46:45.829797,
vanilla_dask_ddf_grp_udaf,ddf,9000,0.129757,9,dask,2024-07-21T10:46:46.106260,
vanilla_dask_sql_no_gpu,ddf,9000,0.102033,9,dask,2024-07-21T10:46:46.352533,
vanilla_dask_sql_no_gpu,ddf,900,0.104564,9,dask,2024-07-21T10:46:46.601910,
vanilla_dask_sql_no_gpu,ddf,9000000,0.853829,9,dask,2024-07-21T10:46:47.600874,
vanilla_dask_ddf_grp_apply,ddf,9000,0.108036,9,dask,2024-07-21T10:46:47.855744,
vanilla_dask_sql_no_gpu,ddf,9,0.078158,9,dask,2024-07-21T10:46:48.236336,
vanilla_dask_sql_no_gpu,ddf,90000,0.118920,9,dask,2024-07-21T10:46:48.502484,
vanilla_dask_ddf_grp_apply,ddf,9000,0.105243,9,dask,2024-07-21T10:46:48.753042,
vanilla_dask_ddf_grp_apply,ddf,9000,0.108825,9,dask,2024-07-21T10:46:49.008293,
vanilla_dask_sql_no_gpu,ddf,90,0.103993,9,dask,2024-07-21T10:46:49.257947,
vanilla_dask_sql_no_gpu,ddf,9000,0.105817,9,dask,2024-07-21T10:46:49.509109,
vanilla_dask_sql_no_gpu,ddf,900,0.104986,9,dask,2024-07-21T10:46:49.757972,
vanilla_dask_ddf_grp_udaf,ddf,900,0.123818,9,dask,2024-07-21T10:46:50.027566,
vanilla_dask_ddf_grp_apply,ddf,9,0.051991,9,dask,2024-07-21T10:46:50.535831,
vanilla_dask_sql_no_gpu,ddf,900,0.099790,9,dask,2024-07-21T10:46:50.785232,
vanilla_dask_ddf_grp_udaf,ddf,90000,0.141927,9,dask,2024-07-21T10:46:51.073348,
vanilla_dask_ddf_grp_udaf,ddf,90000,0.135991,9,dask,2024-07-21T10:46:51.355427,
vanilla_dask_ddf_grp_apply,ddf,9000,0.102186,9,dask,2024-07-21T10:46:51.601457,
vanilla_dask_ddf_grp_udaf,ddf,90,0.126617,9,dask,2024-07-21T10:46:51.874484,
vanilla_dask_ddf_grp_udaf,ddf,90000,0.134115,9,dask,2024-07-21T10:46:52.153687,
vanilla_dask_ddf_grp_apply,ddf,9,0.053998,9,dask,2024-07-21T10:46:52.352264,
vanilla_dask_sql_no_gpu,ddf,9,0.072178,9,dask,2024-07-21T10:46:52.572249,
